Query_Count,Destination_Count,Unique_IP_Count,Vessel_Count
9,1,1,1
9,1,3,1
4,1,2,1
7,1,2,1
16,1,1,1
4,1,1,1
2,1,2,1
13,1,1,1
4,1,3,1
3,1,1,1
5,1,1,1
2,1,2,1
2,1,2,1
19,1,1,1
1,1,1,1
2,1,2,1
12,1,3,2
2,1,2,1
1,1,1,1
2,1,1,1
2,1,2,1
4,2,4,2
15,1,3,2
3,1,3,1
17,1,3,2
5,1,4,1
3,1,3,1
3,1,3,1
1,1,1,2
5,1,4,2
9,1,3,2
2,1,2,2
9,1,4,2
9,1,5,1
12,1,8,2
5,1,3,2
5,1,2,1
15,2,6,2
15,1,2,1
14,1,12,1
14,1,9,1
2,1,1,1
1,1,1,1
1,1,1,2
30,1,5,2
2,1,2,1
24,2,7,2
2,1,2,1
2,1,2,1
1,1,1,1
1,1,1,1
34,1,6,1
5,1,2,1
8,1,6,1
2,1,2,1
1,1,1,1
4,1,3,1
1,1,1,2
3,1,3,1
25,1,9,2
1,1,1,1
14,1,5,2
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,3
7,1,5,2
1,1,1,1
14,1,2,1
8,1,3,1
3,1,3,1
5,1,4,1
1,1,1,2
9,2,6,1
2,1,2,1
2,2,2,1
12,1,4,1
1,1,1,1
3,1,2,1
2,1,2,1
3,1,3,1
12,1,5,2
9,1,5,1
9,1,2,1
1,1,1,1
3,1,3,1
1,1,1,1
1,1,1,1
11,1,1,1
2,1,2,2
3,1,2,1
5,1,1,1
3,1,2,1
9,1,7,1
1,1,1,1
5,1,4,1
5,1,3,1
3,1,3,1
5,1,1,2
14,1,4,2
5,1,5,1
3,1,2,1
6,1,4,1
1,1,1,1
1,1,1,1
4,1,3,1
5,1,3,1
5,1,2,1
22,2,6,1
10,1,4,2
11,1,2,1
7,1,4,1
1,1,1,1
2,1,2,1
7,1,3,1
1,1,1,1
2,1,2,1
1,1,1,1
4,1,4,1
4,1,3,4
2,1,2,1
1,1,1,1
2,1,2,1
2,1,1,1
3,1,3,1
4,1,4,1
2,1,2,1
1,1,1,1
5,1,3,2
2,1,2,2
17,1,5,1
8,1,4,1
2,1,2,1
1,1,1,1
3,1,3,1
4,1,1,1
4,2,4,2
27,1,10,2
5,1,3,1
6,1,4,1
1,1,1,1
4,1,3,1
14,1,1,2
2,1,2,1
4,1,2,2
4,1,4,1
1,1,1,2
3,1,1,2
8,1,5,1
3,2,3,1
9,1,2,1
7,1,3,1
4,1,4,2
1,1,1,1
1,1,1,1
3,1,3,1
2,1,2,1
2,1,2,1
15,1,6,1
4,1,4,1
2,1,2,1
5,1,3,1
2,1,2,1
3,1,3,1
4,1,3,1
1,1,1,1
2,1,2,1
3,2,3,3
1,1,1,1
3,1,1,2
4,1,2,1
